battle_id,date,pok1_id,pok2_id,pokemon_winner_id,trainer_winner_id,gym_id
48,2025-09-23,16,600,600,5532,37
49,2025-12-13,17,410,410,2426,55
50,2025-11-08,17,968,968,9052,68
51,2025-01-03,17,239,239,2649,51
52,2025-06-01,18,364,364,7729,43
53,2025-10-30,18,1153,1153,6523,37
54,2025-01-11,18,638,638,10371,16
55,2025-09-23,19,118,118,8215,3
56,2025-07-20,19,956,956,6293,47
57,2025-02-23,19,453,453,4801,39
58,2025-11-13,20,1150,20,5340,56
59,2025-12-16,20,418,20,5340,40
60,2025-07-29,20,4,4,8215,62
61,2025-01-25,21,1016,1016,3347,56
62,2025-01-08,21,117,117,4524,46
63,2025-01-02,21,657,657,2764,33
64,2025-07-16,22,844,844,1480,46
65,2025-02-05,22,1023,1023,6188,18
66,2025-12-27,22,670,670,2554,35
67,2025-03-18,23,721,23,1513,10
68,2025-08-02,23,206,23,1513,43
69,2025-11-03,23,978,23,1513,62
70,2025-08-11,24,963,963,3507,33
71,2025-04-08,24,413,413,2345,1
72,2025-11-07,24,624,24,7731,30
73,2025-11-03,25,1103,1103,2801,45
74,2025-11-24,25,971,971,9241,66
75,2025-06-05,25,236,236,4945,39
76,2025-09-18,26,1005,1005,11066,21
77,2025-08-15,26,60,60,11684,32
78,2025-03-16,26,1185,1185,7382,52
79,2025-05-05,27,902,902,5209,61
80,2025-10-05,27,995,27,4533,51
81,2025-09-22,27,1020,27,4533,41
82,2025-08-18,28,80,80,7110,2
83,2025-06-22,28,911,28,6515,27
84,2025-08-10,28,490,490,4030,2
85,2025-04-11,29,787,787,4213,40
86,2025-11-21,29,1143,1143,2941,24
87,2025-02-12,29,585,585,8648,38
88,2025-12-05,30,426,30,5481,10
89,2025-02-11,30,957,957,11386,47
90,2025-07-31,30,857,30,5481,64
91,2025-07-10,31,154,154,6187,41
92,2025-01-29,31,1158,1158,6727,10
93,2025-08-04,31,1048,1048,8362,13
94,2025-12-06,32,236,236,4945,34
95,2025-04-05,32,492,32,2526,56
96,2025-07-24,32,76,76,5164,10
97,2025-12-29,33,101,101,6963,60
98,2025-09-08,33,1196,1196,2250,12
99,2025-01-14,33,723,723,3222,41
100,2025-05-14,34,328,328,6903,55
101,2025-08-21,34,155,155,6747,23
102,2025-08-04,34,965,34,31,58
103,2025-03-23,35,247,35,3880,25
104,2025-12-13,35,705,35,3880,53
105,2025-01-08,35,653,35,3880,21
106,2025-12-04,36,228,36,9091,9
107,2025-10-30,36,877,36,9091,67
108,2025-05-02,36,953,953,3114,5
109,2025-02-04,37,683,683,1112,32
110,2025-11-22,37,1067,1067,2291,3
111,2025-01-22,37,1002,37,460,54
112,2025-10-15,38,852,852,6745,57
113,2025-04-19,38,20,20,5340,55
114,2025-12-15,38,365,365,3110,56
115,2025-07-24,39,867,867,673,60
116,2025-12-12,39,1098,39,10732,6
117,2025-11-28,39,903,39,10732,35
118,2025-06-24,40,209,40,550,8
119,2025-01-25,40,469,469,3289,27
120,2025-01-09,40,891,891,10316,12
121,2025-11-12,41,411,411,2405,43
122,2025-06-16,41,491,41,6494,39
123,2025-03-16,41,8,8,378,34
124,2025-11-02,42,46,46,1053,43
125,2025-01-05,42,433,433,9637,12
126,2025-02-04,42,756,756,6914,38
127,2025-05-13,43,67,43,10112,44
128,2025-06-27,43,163,43,10112,22
129,2025-04-05,43,929,43,10112,22
130,2025-06-07,44,259,259,11831,13
131,2025-09-13,44,930,930,9167,14
132,2025-01-04,44,183,183,10390,42
133,2025-08-06,45,1096,1096,4495,17
134,2025-10-21,45,115,45,8908,41
135,2025-05-22,45,462,462,1639,23
136,2025-04-10,46,1072,46,1053,6
137,2025-01-01,46,661,46,1053,47
138,2025-06-12,46,988,46,1053,34
139,2025-05-25,47,906,906,3426,36
140,2025-05-26,47,1000,1000,10921,28
141,2025-12-24,47,914,914,3167,48
142,2025-06-15,48,702,48,1804,51
143,2025-05-02,48,801,48,1804,49
144,2025-11-15,48,2,48,1804,12
145,2025-03-06,49,302,302,5550,5
146,2025-11-11,49,637,637,11810,64
147,2025-12-19,49,1017,1017,8776,54
148,2025-05-21,50,1207,1207,9864,27
149,2025-11-14,50,985,985,7933,16
150,2025-11-18,50,177,177,6853,23
151,2025-05-25,51,693,51,5714,9
152,2025-09-02,51,755,755,5177,16
153,2025-06-21,51,1070,1070,3295,54
154,2025-11-07,52,798,52,7845,21
155,2025-04-01,52,1053,1053,10273,49
156,2025-04-29,52,572,572,58,41
157,2025-04-17,53,568,568,9772,9
158,2025-05-05,53,848,848,11121,1
159,2025-12-29,53,20,20,5340,23
160,2025-08-13,54,197,197,4797,17
161,2025-05-02,54,987,54,7769,10
162,2025-02-12,54,71,71,10762,26
163,2025-08-14,55,516,516,5279,34
164,2025-11-25,55,165,165,6781,43
165,2025-07-31,55,607,607,1321,50
166,2025-07-09,56,454,454,11251,1
167,2025-02-28,56,540,56,9017,10
168,2025-06-14,56,118,118,8215,8
169,2025-07-04,57,671,671,2846,24
170,2025-05-24,57,857,57,4870,59
171,2025-11-01,57,1102,1102,354,17
172,2025-08-02,58,195,195,3368,67
173,2025-02-15,58,21,58,499,45
174,2025-09-12,58,438,58,499,28
175,2025-10-31,59,218,59,6959,36
176,2025-01-05,59,437,437,9478,55
177,2025-10-25,59,661,59,6959,6
178,2025-08-14,60,898,60,11684,54
179,2025-08-07,60,1005,1005,11066,11
180,2025-10-15,60,541,541,3254,6
181,2025-10-11,61,138,61,2537,19
182,2025-08-15,61,350,61,2537,9
183,2025-01-18,61,1090,61,2537,65
184,2025-05-03,62,1013,1013,6504,66
185,2025-06-25,62,500,500,3358,47
186,2025-09-13,62,22,22,9028,59
187,2025-01-11,63,340,63,9254,36
188,2025-07-31,63,783,783,544,24
189,2025-05-26,63,201,201,10428,3
190,2025-05-25,64,754,754,257,9
191,2025-01-15,64,290,290,61,51
192,2025-11-09,64,157,157,990,58
193,2025-06-16,65,1211,1211,3583,57
194,2025-03-17,65,800,65,10380,31
195,2025-07-03,65,197,197,4797,37
196,2025-10-11,66,382,66,1544,54
197,2025-06-24,66,1111,66,1544,39
198,2025-10-18,66,440,440,4001,28
199,2025-05-12,67,557,557,11612,22
200,2025-12-13,67,952,952,733,21
201,2025-08-25,67,243,67,2590,52
202,2025-05-24,68,1187,1187,1801,29
203,2025-09-28,68,513,513,11461,68
204,2025-02-26,68,305,305,5609,17
205,2025-12-12,69,105,105,7153,43
206,2025-04-02,69,962,962,8481,5
207,2025-03-04,69,600,600,5532,62
208,2025-01-12,70,693,693,4694,7
209,2025-08-05,70,1010,70,7627,40
210,2025-03-15,70,864,864,852,35
211,2025-04-09,71,604,604,8597,31
212,2025-06-06,71,261,71,10762,45
213,2025-09-30,71,946,946,7455,6
214,2025-04-13,72,684,72,11024,41
215,2025-09-27,72,332,72,11024,1
216,2025-08-27,72,396,396,1156,39
217,2025-10-26,73,481,481,7016,38
218,2025-08-10,73,800,73,10259,28
219,2025-07-03,73,530,530,10568,45
220,2025-08-07,74,93,74,7231,57
221,2025-01-27,74,672,74,7231,14
222,2025-04-13,74,1119,74,7231,38
223,2025-11-28,75,146,146,60,57
224,2025-10-10,75,781,781,8873,23
225,2025-03-21,75,396,396,1156,32
226,2025-04-15,76,645,76,5164,67
227,2025-07-17,76,581,581,6542,5
228,2025-04-22,76,279,279,2298,16
229,2025-08-20,77,1059,1059,3258,30
230,2025-07-19,77,1178,1178,9762,53
231,2025-07-02,77,535,535,10801,28
232,2025-09-21,78,884,884,2070,1
233,2025-07-23,78,735,78,7600,53
234,2025-08-09,78,59,59,6959,35
235,2025-01-31,79,400,79,8988,16
236,2025-06-18,79,854,79,8988,54
237,2025-05-14,79,386,386,3893,38
238,2025-04-05,80,1168,1168,1835,20
239,2025-11-05,80,448,80,7110,37
240,2025-10-29,80,804,80,7110,18
241,2025-01-19,81,765,765,8670,13
242,2025-03-21,81,915,915,9520,66
243,2025-08-27,81,1207,1207,9864,25
244,2025-06-18,82,233,82,6310,20
245,2025-04-13,82,957,957,11386,22
246,2025-07-04,82,638,82,6310,45
247,2025-06-28,83,616,616,4010,3
248,2025-11-28,83,413,413,2345,64
249,2025-03-09,83,441,83,6648,19
250,2025-02-08,84,668,668,57,7
251,2025-06-19,84,131,131,4602,3
252,2025-11-26,84,883,883,10258,43
253,2025-04-20,85,530,530,10568,30
254,2025-11-02,85,257,257,7497,62
255,2025-09-20,85,631,85,1974,4
256,2025-04-13,86,786,786,9647,51
257,2025-10-30,86,1063,1063,2593,25
258,2025-12-31,86,773,773,5334,17
259,2025-06-22,87,338,87,9459,14
260,2025-10-09,87,621,87,9459,34
261,2025-03-03,87,953,87,9459,36
262,2025-09-02,88,39,39,10732,65
263,2025-08-02,88,403,403,1453,9
264,2025-04-08,88,367,88,2836,51
265,2025-09-18,89,44,89,3609,36
266,2025-01-14,89,747,747,10336,36
267,2025-01-11,89,236,236,4945,25
268,2025-03-03,90,826,90,6971,63
269,2025-11-23,90,333,90,6971,15
270,2025-10-16,90,716,90,6971,30
271,2025-02-22,91,1093,91,4153,22
272,2025-09-14,91,789,789,2909,63
273,2025-09-20,91,793,793,2481,24
274,2025-01-29,92,1102,1102,354,16
275,2025-09-14,92,707,92,7309,30
276,2025-12-26,92,758,758,1754,44
277,2025-05-19,93,1180,93,2304,34
278,2025-01-07,93,491,93,2304,7
279,2025-11-03,93,1096,93,2304,37
280,2025-05-14,94,391,391,8927,6
281,2025-04-01,94,292,292,11599,13
282,2025-04-17,94,1029,1029,1901,14
283,2025-05-19,95,476,476,6537,27
284,2025-06-05,95,894,95,7603,35
285,2025-11-01,95,301,95,7603,12
286,2025-09-04,96,51,51,5714,51
287,2025-02-20,96,1175,1175,2784,31
288,2025-11-28,96,357,357,7221,48
289,2025-08-02,97,335,97,11613,18
290,2025-07-27,97,109,109,8235,36
291,2025-10-11,97,226,97,11613,30
292,2025-01-09,98,986,98,1169,15
293,2025-07-07,98,1070,1070,3295,56
294,2025-10-10,98,893,893,6620,55
295,2025-02-20,99,763,99,9531,6
296,2025-03-29,99,824,824,9284,41
297,2025-07-27,99,276,276,8145,35
298,2025-03-22,100,425,100,4687,14
299,2025-08-10,100,642,100,4687,8
300,2025-08-10,100,790,100,4687,68
301,2025-02-07,101,645,101,6963,62
302,2025-09-24,101,1102,101,6963,30
303,2025-01-12,101,347,101,6963,64
304,2025-12-31,102,93,93,2304,15
305,2025-08-22,102,763,102,10023,15
306,2025-03-11,102,327,327,4781,9
307,2025-01-23,103,1204,1204,512,17
308,2025-10-06,103,578,578,1749,36
309,2025-01-13,103,969,969,1879,42
310,2025-08-11,104,169,169,2171,3
311,2025-03-15,104,910,104,9615,6
312,2025-06-21,104,770,770,4211,29
313,2025-08-22,105,845,845,5192,12
314,2025-02-05,105,112,105,7153,31
315,2025-09-23,105,1192,1192,3322,18
316,2025-10-10,106,182,182,5403,9
317,2025-10-13,106,915,915,9520,41
318,2025-09-14,106,838,838,3063,48
319,2025-08-20,107,504,504,3343,21
320,2025-09-03,107,939,939,2613,50
321,2025-11-29,107,123,107,9675,54
322,2025-10-12,108,256,108,8548,23
323,2025-10-09,108,536,108,8548,65
324,2025-07-13,108,1016,108,8548,37
325,2025-02-26,109,969,969,1879,24
326,2025-03-25,109,697,109,8235,2
327,2025-12-23,109,1193,1193,8549,4
328,2025-12-29,110,325,110,11364,56
329,2025-09-20,110,480,480,7506,33
330,2025-01-15,110,237,110,11364,61
331,2025-02-21,111,512,512,5186,23
332,2025-05-14,111,381,111,9364,19
333,2025-01-12,111,56,56,9017,30
334,2025-04-02,112,416,112,2978,46
335,2025-08-25,112,249,112,2978,64
336,2025-12-23,112,47,112,2978,47
337,2025-05-15,113,737,737,8482,42
338,2025-01-04,113,331,113,1388,18
339,2025-01-07,113,627,113,1388,68
340,2025-10-08,114,187,114,5897,67
341,2025-02-14,114,735,114,5897,23
342,2025-05-14,114,388,388,117,14
343,2025-12-22,115,736,736,2020,14
344,2025-06-28,115,291,291,4227,42
345,2025-11-25,115,1205,1205,2401,61
346,2025-03-31,116,486,116,8866,3
347,2025-09-20,116,39,116,8866,35
348,2025-07-17,116,931,931,6978,55
349,2025-05-30,117,1176,1176,10953,48
350,2025-12-14,117,399,117,4524,17
351,2025-10-23,117,578,578,1749,33
352,2025-10-04,118,1124,118,8215,50
353,2025-11-08,118,402,118,8215,46
354,2025-08-03,118,1144,118,8215,24
355,2025-07-02,119,776,776,10042,29
356,2025-03-31,119,182,182,5403,63
357,2025-02-06,119,340,119,5836,5
358,2025-08-03,120,157,157,990,16
359,2025-08-30,120,540,120,5720,20
360,2025-06-18,120,61,61,2537,31
361,2025-09-29,121,23,121,11839,14
362,2025-08-03,121,801,121,11839,64
363,2025-05-06,121,1045,121,11839,40
364,2025-02-13,122,1150,122,10894,62
365,2025-09-01,122,636,122,10894,68
366,2025-06-04,122,1207,1207,9864,44
367,2025-08-25,123,867,867,673,8
368,2025-11-05,123,570,570,5574,8
369,2025-06-27,123,524,524,4073,8
370,2025-05-10,124,385,124,243,46
371,2025-11-21,124,274,124,243,36
372,2025-02-25,124,1089,1089,3895,43
373,2025-07-28,125,1101,1101,6421,7
374,2025-10-08,125,215,125,6926,45
375,2025-08-03,125,567,567,2386,56
376,2025-03-26,126,895,895,9890,35
377,2025-02-06,126,139,139,7746,9
378,2025-11-13,126,67,67,2590,58
379,2025-07-03,127,451,127,11392,62
380,2025-07-05,127,1054,1054,2114,49
381,2025-04-13,127,1082,127,11392,15
382,2025-12-04,128,367,128,9726,1
383,2025-10-10,128,928,128,9726,30
384,2025-08-23,128,815,128,9726,48
385,2025-09-25,129,1150,129,5331,42
386,2025-07-07,129,261,129,5331,29
387,2025-02-21,129,99,99,9531,59
388,2025-07-12,130,60,130,8607,44
389,2025-04-06,130,994,994,529,58
390,2025-09-07,130,1123,1123,3258,65
391,2025-12-12,131,196,196,40,37
392,2025-11-10,131,91,131,4602,67
393,2025-10-21,131,1185,1185,7382,1
394,2025-11-11,132,1067,1067,2291,32
395,2025-01-17,132,652,652,2136,50
396,2025-08-16,132,1166,1166,6775,53
397,2025-02-10,133,1204,1204,512,6
398,2025-08-28,133,547,133,6308,33
399,2025-05-11,133,1179,1179,4389,53
400,2025-08-12,134,1017,134,5320,35
401,2025-02-26,134,320,320,11094,4
402,2025-07-19,134,201,201,10428,19
403,2025-10-31,135,911,135,5860,57
404,2025-06-29,135,923,923,8140,65
405,2025-09-29,135,402,402,6454,65
406,2025-11-01,136,789,789,2909,3
407,2025-02-15,136,1052,136,11785,29
408,2025-12-19,136,944,944,8655,58
409,2025-07-01,137,85,137,6872,5
410,2025-04-12,137,652,652,2136,1
411,2025-01-14,137,416,137,6872,6
412,2025-05-01,138,411,138,913,17
413,2025-04-08,138,662,662,3976,16
414,2025-09-18,138,1022,138,913,26
415,2025-04-05,139,1027,139,7746,61
416,2025-10-05,139,956,956,6293,36
417,2025-08-06,139,972,139,7746,2
418,2025-11-21,140,672,140,2902,46
419,2025-11-04,140,43,140,2902,41
420,2025-11-19,140,451,140,2902,49
421,2025-06-27,141,247,247,11854,54
422,2025-11-17,141,751,751,5231,45
423,2025-01-12,141,1051,141,6190,16
424,2025-01-13,142,819,142,3697,41
425,2025-08-23,142,182,182,5403,52
426,2025-06-21,142,759,759,335,1
427,2025-03-03,143,544,143,6486,62
428,2025-11-08,143,304,143,6486,9
429,2025-04-29,143,555,143,6486,11
430,2025-07-25,144,905,144,104,56
431,2025-09-27,144,580,580,3617,11
432,2025-03-01,144,737,737,8482,43
433,2025-10-12,145,469,469,3289,12
434,2025-06-19,145,624,145,7074,67
435,2025-06-30,145,836,836,7516,4
436,2025-01-25,146,381,146,60,65
437,2025-09-09,146,1032,1032,8767,57
438,2025-09-09,146,100,100,4687,51
439,2025-06-13,147,33,147,9836,15
440,2025-07-19,147,429,429,4091,57
441,2025-05-21,147,209,209,7733,67
442,2025-03-10,148,266,266,511,49
443,2025-12-08,148,606,606,8562,18
444,2025-01-29,148,812,148,6630,18
445,2025-02-28,149,802,149,2403,17
446,2025-05-16,149,1057,1057,7953,28
447,2025-08-01,149,1118,149,2403,7
448,2025-03-09,150,1130,1130,3558,57
449,2025-06-07,150,239,239,2649,13
450,2025-07-25,150,179,150,10798,46
451,2025-08-12,151,263,151,8369,37
452,2025-07-10,151,850,151,8369,1
453,2025-08-17,151,1185,1185,7382,44
454,2025-01-28,152,838,838,3063,44
455,2025-06-25,152,1135,152,7649,66
456,2025-11-22,152,480,480,7506,8
457,2025-09-29,153,13,13,10203,24
458,2025-08-31,153,787,153,1044,60
459,2025-10-20,153,534,153,1044,37
460,2025-07-18,154,31,154,6187,59
461,2025-12-26,154,1172,1172,1321,48
462,2025-08-07,154,388,154,6187,41
463,2025-07-11,155,597,597,2163,61
464,2025-03-08,155,1004,155,6747,2
465,2025-11-04,155,772,772,5511,68
466,2025-05-30,156,330,330,743,18
467,2025-08-19,156,27,27,4533,20
468,2025-04-24,156,1149,1149,3548,32
469,2025-04-29,157,446,446,11512,58
470,2025-01-16,157,818,818,69,38
471,2025-01-14,157,460,157,990,3
472,2025-12-24,158,713,158,10209,2
473,2025-07-20,158,72,72,11024,43
474,2025-09-17,158,533,158,10209,55
475,2025-09-18,159,887,159,11260,48
476,2025-08-31,159,474,474,10757,25
477,2025-12-13,159,468,468,9352,45
478,2025-10-31,160,407,160,3290,7
479,2025-07-19,160,844,844,1480,54
480,2025-12-31,160,348,160,3290,33
481,2025-11-27,161,819,161,2430,22
482,2025-08-15,161,881,881,10536,2
483,2025-05-23,161,544,161,2430,60
484,2025-06-10,162,484,484,3621,66
485,2025-09-19,162,4,4,8215,63
486,2025-05-07,162,1079,1079,11856,51
487,2025-03-22,163,1181,163,4053,63
488,2025-10-11,163,211,211,3738,57
489,2025-05-23,163,672,163,4053,32
490,2025-06-15,164,465,465,8205,12
491,2025-08-02,164,1104,164,4115,67
492,2025-01-24,164,1133,164,4115,61
493,2025-01-07,165,1207,1207,9864,67
494,2025-09-06,165,1215,1215,10624,64
495,2025-08-12,165,1130,165,6781,57
496,2025-02-21,166,696,696,2501,58
497,2025-02-15,166,550,550,8916,54
498,2025-08-26,166,38,166,2805,14
499,2025-05-28,167,238,167,358,66
500,2025-09-11,167,960,960,957,61
501,2025-11-24,167,867,867,673,22
502,2025-05-30,168,661,168,4017,48
503,2025-11-08,168,1096,168,4017,21
504,2025-03-01,168,1110,168,4017,49
505,2025-02-20,169,850,169,2171,29
506,2025-04-24,169,440,169,2171,30
507,2025-11-23,169,587,169,2171,61
508,2025-10-26,170,503,170,947,6
509,2025-01-31,170,1182,1182,1870,40
510,2025-10-23,170,748,170,947,27
511,2025-07-12,171,450,450,10178,48
512,2025-09-28,171,39,171,6742,22
513,2025-05-07,171,419,171,6742,56
514,2025-12-15,172,938,172,903,57
515,2025-06-29,172,79,79,8988,51
516,2025-12-21,172,472,472,2013,49
517,2025-08-07,173,398,398,9118,6
518,2025-11-08,173,414,173,10170,64
519,2025-02-20,173,438,173,10170,27
520,2025-08-09,174,771,771,3726,30
521,2025-07-23,174,1187,1187,1801,66
522,2025-05-14,174,867,867,673,62
523,2025-03-29,175,671,175,10108,4
524,2025-01-12,175,402,175,10108,54
525,2025-10-14,175,1073,1073,4451,21
526,2025-02-14,176,1014,176,5857,7
527,2025-02-12,176,318,176,5857,29
528,2025-07-09,176,924,176,5857,44
529,2025-05-24,177,183,177,6853,32
530,2025-04-20,177,458,458,6621,1
531,2025-01-03,177,256,177,6853,38
532,2025-05-29,178,255,255,9985,41
533,2025-04-09,178,505,505,2034,20
534,2025-10-22,178,585,585,8648,20
535,2025-02-05,179,276,276,8145,30
536,2025-10-18,179,624,624,6768,13
537,2025-08-16,179,792,792,54,18
538,2025-06-26,180,1059,1059,3258,16
539,2025-12-05,180,556,556,10221,13
540,2025-11-28,180,740,740,2842,28
541,2025-02-25,181,894,181,5004,23
542,2025-11-05,181,1157,181,5004,36
543,2025-02-23,181,953,953,3114,52
544,2025-08-28,182,835,182,5403,33
545,2025-01-23,182,593,593,11784,20
546,2025-05-05,182,113,182,5403,36
547,2025-10-29,183,1180,183,10390,61
548,2025-12-06,183,744,183,10390,57
549,2025-03-23,183,1083,1083,1166,65
550,2025-05-09,184,362,362,11554,11
551,2025-11-22,184,646,646,5917,15
552,2025-04-11,184,572,572,58,2
553,2025-09-29,185,779,779,2215,19
554,2025-03-02,185,822,822,819,58
555,2025-05-09,185,201,201,10428,60
556,2025-05-03,186,1176,1176,10953,9
557,2025-08-24,186,717,186,8680,63
558,2025-01-17,186,6,186,8680,63
559,2025-04-28,187,1110,1110,916,48
560,2025-04-22,187,1061,1061,1301,32
561,2025-05-28,187,974,974,11324,5
562,2025-04-20,188,876,188,11812,1
563,2025-02-10,188,519,188,11812,63
564,2025-12-20,188,460,188,11812,34
565,2025-08-17,189,340,189,10793,3
566,2025-03-01,189,182,182,5403,63
567,2025-09-09,189,560,189,10793,1
568,2025-02-04,190,681,190,3363,32
569,2025-04-23,190,270,190,3363,22
570,2025-11-03,190,1060,190,3363,9
571,2025-01-02,191,962,962,8481,21
572,2025-02-04,191,555,191,9792,1
573,2025-04-23,191,879,191,9792,58
574,2025-01-05,192,1021,192,11718,3
575,2025-05-23,192,438,192,11718,21
576,2025-11-24,192,47,192,11718,24
577,2025-08-02,193,1137,193,5276,36
578,2025-12-23,193,560,193,5276,66
579,2025-05-03,193,788,193,5276,30
580,2025-03-26,194,1151,194,5412,40
581,2025-06-27,194,346,194,5412,11
582,2025-04-29,194,1107,194,5412,61
583,2025-11-29,195,1034,195,3368,36
584,2025-05-29,195,945,195,3368,20
585,2025-03-30,195,310,195,3368,61
586,2025-05-29,196,1119,196,40,33
587,2025-05-18,196,986,196,40,47
588,2025-04-24,196,366,196,40,15
589,2025-07-27,197,856,197,4797,27
590,2025-09-18,197,40,197,4797,61
591,2025-04-30,197,108,197,4797,10
592,2025-03-28,198,603,603,10148,65
593,2025-01-18,198,564,564,10773,25
594,2025-06-05,198,1025,1025,8997,45
595,2025-08-04,199,687,199,6294,42
596,2025-08-15,199,269,269,3283,8
597,2025-03-27,199,410,410,2426,23
598,2025-06-30,200,432,200,4560,60
599,2025-08-03,200,489,200,4560,44
600,2025-09-20,200,500,200,4560,46
601,2025-07-11,201,828,201,10428,21
602,2025-12-26,201,70,201,10428,59
603,2025-06-05,201,199,201,10428,17
604,2025-07-30,202,809,202,11568,6
605,2025-05-30,202,291,202,11568,21
606,2025-08-16,202,1147,202,11568,49
607,2025-06-22,203,229,203,2707,32
608,2025-07-20,203,1099,203,2707,43
609,2025-11-08,203,999,203,2707,66
610,2025-06-20,204,232,204,6051,35
611,2025-01-04,204,697,204,6051,37
612,2025-09-04,204,739,204,6051,12
613,2025-01-11,205,713,205,2365,19
614,2025-01-21,205,377,377,9843,27
615,2025-04-20,205,553,553,9885,68
616,2025-11-22,206,840,840,2011,49
617,2025-01-01,206,1149,1149,3548,60
618,2025-05-31,206,194,194,5412,37
619,2025-08-20,207,326,207,11777,5
620,2025-08-16,207,902,207,11777,14
621,2025-04-24,207,965,207,11777,58
622,2025-10-12,208,1081,1081,5201,18
623,2025-05-24,208,421,421,3947,22
624,2025-04-30,208,522,522,1998,58
625,2025-10-22,209,896,209,7733,62
626,2025-03-19,209,1062,1062,4543,40
627,2025-11-24,209,383,383,10972,20
628,2025-04-19,210,1075,210,6509,23
629,2025-05-17,210,1110,210,6509,9
630,2025-03-09,210,1192,1192,3322,6
631,2025-06-13,211,1126,211,3738,41
632,2025-09-05,211,1078,211,3738,17
633,2025-08-01,211,783,783,544,60
634,2025-01-21,212,301,301,3056,10
635,2025-09-08,212,721,721,10228,20
636,2025-12-28,212,1021,1021,1621,48
637,2025-06-04,213,328,328,6903,46
638,2025-04-30,213,524,213,901,35
639,2025-04-23,213,32,32,2526,37
640,2025-12-18,214,1077,214,4132,49
641,2025-03-24,214,1145,1145,11516,23
642,2025-07-23,214,316,316,5160,59
643,2025-05-07,215,770,770,4211,54
644,2025-03-10,215,396,396,1156,20
645,2025-01-12,215,433,433,9637,41
646,2025-09-01,216,833,216,7310,27
647,2025-04-01,216,312,312,3352,66
648,2025-05-17,216,189,189,10793,48
649,2025-01-19,217,748,748,5519,64
650,2025-01-11,217,532,532,6706,63
651,2025-12-29,217,1194,1194,950,52
652,2025-02-15,218,514,218,11728,37
653,2025-05-10,218,698,698,5755,2
654,2025-02-16,218,498,218,11728,28
655,2025-11-05,219,453,453,4801,22
656,2025-09-16,219,684,684,4451,47
657,2025-12-24,219,1116,1116,8988,24
658,2025-03-06,220,283,283,2804,44
659,2025-06-10,220,731,731,7653,33
660,2025-10-15,220,747,747,10336,46
661,2025-06-28,221,757,757,9030,55
662,2025-12-29,221,16,16,2834,51
663,2025-08-08,221,862,862,6188,55
664,2025-07-08,222,201,201,10428,22
665,2025-02-19,222,590,590,4914,34
666,2025-03-30,222,665,665,1418,35
667,2025-07-11,223,362,223,10024,37
668,2025-09-04,223,86,223,10024,23
669,2025-08-13,223,132,223,10024,37
670,2025-01-10,224,280,224,7124,15
671,2025-09-29,224,693,693,4694,61
672,2025-03-18,224,412,412,1393,25
673,2025-03-23,225,890,225,4296,42
674,2025-06-06,225,368,368,10784,27
675,2025-07-20,225,1034,225,4296,29
676,2025-09-14,226,1097,1097,7124,2
677,2025-04-16,226,164,164,4115,32
678,2025-01-02,226,389,389,512,62
679,2025-07-21,227,785,785,9881,51
680,2025-06-13,227,601,601,10261,34
681,2025-08-21,227,960,960,957,42
682,2025-02-27,228,1033,1033,9526,6
683,2025-03-13,228,833,833,5497,31
684,2025-01-15,228,421,421,3947,25
685,2025-11-08,229,1171,1171,8539,10
686,2025-03-29,229,557,557,11612,26
687,2025-12-16,229,476,476,6537,16
